,,,,HUMI,PRES,TEMP,cbwd,Iws,precipitation
2014,1,11,4,65.36,1031,6,45,39,0
2014,1,11,5,65.36,1031,6,45,43,0
2014,1,11,6,61.01,1031,7,45,47,0
2014,1,11,7,61.01,1031,7,45,51,0
2014,1,11,8,61.01,1032,7,45,55,0
2014,1,11,9,65.59,1032,7,45,60,0
2014,1,11,10,75.67,1032,7,45,64,0.1
2014,1,11,11,70.47,1031,7,45,68,0.2
2014,1,11,12,75.67,1030,7,45,73,0
2014,1,11,13,75.67,1030,7,45,78,0.1
2014,1,11,14,75.67,1029,7,45,81,0.1
2014,1,11,15,81.06,1029,6,45,84,0.3
2014,1,11,16,80.92,1029,5,45,88,0.5
2014,1,11,17,80.92,1030,5,45,92,0.2
2014,1,11,18,80.92,1030,5,45,95,0.1
2014,1,11,19,80.92,1030,5,45,99,0.1
2014,1,11,20,80.92,1031,5,45,101,0.1
2014,1,11,21,80.92,1030,5,45,105,0.1
2014,1,11,22,86.89,1030,5,45,108,0
2014,1,11,23,86.89,1029,5,45,110,0.2
2014,1,12,0,81.06,1029,6,45,111,0.2
2014,1,12,1,86.89,1029,5,45,114,0.9
2014,1,12,2,86.89,1029,5,45,117,0.7
2014,1,12,3,93.24,1029,5,45,121,0.5
2014,1,12,4,93.24,1029,5,45,125,0.6
2014,1,12,5,93.24,1029,5,45,129,0.9
2014,1,12,6,86.89,1030,5,45,132,0.8
2014,1,12,7,86.89,1031,5,45,136,0.3
2014,1,12,8,86.89,1031,5,45,139,0
2014,1,12,9,86.99,1032,6,45,141,0
2014,1,12,10,81.06,1032,6,45,145,0.1
2014,1,12,11,70.47,1032,7,315,3,0
2014,1,12,12,75.67,1031,7,45,4,0
2014,1,12,13,61.26,1030,8,45,9,0
2014,1,12,14,46,1030,9,315,5,0
2014,1,12,15,42.71,1030,9,45,4,0
2014,1,12,16,49.22,1030,8,45,9,0
2014,1,12,17,56.72,1031,7,45,13,0
2014,1,12,18,60.51,1032,5,45,16,0
2014,1,12,19,60.51,1032,5,45,20,0
2014,1,12,20,65.13,1032,5,45,24,0
2014,1,12,21,65.13,1033,5,45,29,0
2014,1,12,22,75.32,1033,5,45,33,0
2014,1,12,23,80.92,1033,5,45,37,0
2014,1,13,0,75.32,1032,5,45,41,0
2014,1,13,1,75.32,1032,5,45,46,0
2014,1,13,2,75.32,1033,5,45,50,0
2014,1,13,3,70.06,1033,5,45,55,0
2014,1,13,4,65.13,1032,5,45,61,0
2014,1,13,5,65.13,1032,5,45,67,0
2014,1,13,6,64.9,1032,4,45,72,0
2014,1,13,7,60.25,1033,4,45,78,0
2014,1,13,8,64.9,1033,4,45,83,0
2014,1,13,9,56.18,1033,5,45,88,0
2014,1,13,10,56.18,1034,5,45,94,0
2014,1,13,11,52.41,1033,6,45,98,0
2014,1,13,12,45.4,1032,7,45,102,0
2014,1,13,13,45.4,1031,7,45,107,0
2014,1,13,14,42.1,1031,7,45,111,0
2014,1,13,15,45.1,1030,6,45,115,0
2014,1,13,16,45.1,1030,6,45,119,0
2014,1,13,17,52.13,1030,5,45,123,0
2014,1,13,18,52.13,1031,5,45,127,0
2014,1,13,19,52.13,1031,5,45,131,0
2014,1,13,20,51.84,1031,4,45,135,None
2014,1,13,21,55.91,1031,4,45,139,None
2014,1,13,22,55.91,1031,4,45,143,0
2014,1,13,23,60.25,1031,4,45,146,0
2014,1,14,0,60.25,1031,4,315,3,0
2014,1,14,1,69.43,1031,2,45,3,0
2014,1,14,2,69.21,1031,1,45,6,0
2014,1,14,3,74.59,1031,1,45,8,0
2014,1,14,4,69.43,1031,2,315,2,0
2014,1,14,5,80.19,1031,0,315,4,0
2014,1,14,6,80.19,1031,0,None,1,0
2014,1,14,7,74.59,1031,1,315,2,0
2014,1,14,8,74.96,1032,3,45,2,0
2014,1,14,9,60.51,1033,5,45,6,0
2014,1,14,10,56.45,1033,6,45,11,0
2014,1,14,11,48.93,1033,7,45,17,0
2014,1,14,12,45.7,1032,8,45,21,0
2014,1,14,13,45.4,1032,7,45,27,0
2014,1,14,14,36.44,1031,8,45,29,0
2014,1,14,15,39.32,1031,8,45,34,0
2014,1,14,16,39.01,1032,7,45,39,0
2014,1,14,17,45.1,1032,6,45,43,0
2014,1,14,18,51.84,1033,4,45,47,0
2014,1,14,19,56.18,1033,5,45,51,0
2014,1,14,20,64.9,1034,4,45,55,0
2014,1,14,21,64.9,1034,4,45,59,0
2014,1,14,22,64.9,1034,4,45,63,0
2014,1,14,23,60.25,1034,4,45,66,0
2014,1,15,0,69.43,1034,2,45,68,0
2014,1,15,1,74.41,1035,0,45,71,0
2014,1,15,2,74.59,1034,1,45,73,0
2014,1,15,3,74.41,1034,0,45,75,0
2014,1,15,4,69.21,1034,1,45,77,0
2014,1,15,5,80.19,1034,0,315,3,0
2014,1,15,6,74.41,1034,0,315,4,0
2014,1,15,7,74.41,1035,0,None,0,0
2014,1,15,8,74.78,1035,2,45,2,0
2014,1,15,9,60.25,1036,4,45,5,0
2014,1,15,10,48.63,1036,6,45,8,0
2014,1,15,11,42.1,1035,7,None,3,0
2014,1,15,12,36.44,1034,8,None,6,0
2014,1,15,13,36.44,1033,8,45,4,0
2014,1,15,14,31.23,1032,8,45,8,0
2014,1,15,15,31.23,1032,8,45,11,0
2014,1,15,16,31.23,1032,8,45,14,0
2014,1,15,17,36.13,1032,7,45,18,0
2014,1,15,18,45.1,1032,6,45,22,0
2014,1,15,19,52.13,1032,5,45,25,0
2014,1,15,20,52.13,1032,5,45,28,0
2014,1,15,21,52.13,1033,5,45,31,0
2014,1,15,22,56.18,1032,5,45,33,0
2014,1,15,23,60.25,1032,4,45,34,0
2014,1,16,0,64.66,1032,3,None,1,0
2014,1,16,1,69.64,1032,3,45,2,0
2014,1,16,2,74.78,1032,2,None,0,0
2014,1,16,3,74.78,1031,2,45,1,0
2014,1,16,4,80.34,1031,1,45,2,0
2014,1,16,5,80.34,1031,1,45,3,0
2014,1,16,6,80.34,1030,1,None,0,0
2014,1,16,7,86.37,1030,0,135,1,0
2014,1,16,8,69.85,1030,4,45,2,0
2014,1,16,9,52.7,1030,7,135,3,0
2014,1,16,10,49.22,1030,8,135,7,0
2014,1,16,11,46,1028,9,135,12,0
2014,1,16,12,40.23,1028,11,225,4,0
2014,1,16,13,37.36,1027,11,225,8,0
2014,1,16,14,40.23,1026,11,225,12,0
2014,1,16,15,37.36,1026,11,225,15,0
2014,1,16,16,43.01,1026,10,225,19,0
2014,1,16,17,46,1027,9,225,22,0
2014,1,16,18,56.72,1027,7,225,24,0
2014,1,16,19,56.99,1027,8,135,2,0
2014,1,16,20,56.99,1027,8,135,5,0
2014,1,16,21,61.26,1027,8,135,8,0
2014,1,16,22,65.59,1027,7,135,11,0
2014,1,16,23,70.47,1027,7,135,13,0
2014,1,17,0,70.27,1027,6,None,0,0
2014,1,17,1,75.32,1027,5,None,0,0
2014,1,17,2,75.14,1027,4,45,2,0
2014,1,17,3,80.78,1027,4,None,0,0
2014,1,17,4,80.78,1026,4,None,0,0
2014,1,17,5,80.78,1026,4,None,0,0
2014,1,17,6,86.68,1026,3,None,0,0
2014,1,17,7,80.78,1027,4,None,0,0
2014,1,17,8,86.89,1027,5,None,0,0
2014,1,17,9,75.84,1028,8,None,0,0
2014,1,17,10,66.05,1028,9,315,2,0
2014,1,17,11,57.77,1027,11,225,1,0
2014,1,17,12,54.08,1026,12,315,2,0
2014,1,17,13,50.08,1025,11,315,4,0
2014,1,17,14,43.6,1025,12,315,7,0
2014,1,17,15,43.6,1025,12,315,9,0
2014,1,17,16,37.66,1025,12,315,12,0
2014,1,17,17,43.01,1026,10,315,15,0
2014,1,17,18,46,1026,9,315,18,0
2014,1,17,19,57.25,1027,9,45,2,0
2014,1,17,20,61.26,1027,8,45,4,0
2014,1,17,21,61.26,1028,8,315,4,0
2014,1,17,22,65.59,1028,7,315,8,0
2014,1,17,23,70.27,1029,6,315,11,0
2014,1,18,0,75.32,1029,5,45,3,0
2014,1,18,1,80.78,1029,4,45,6,0
2014,1,18,2,80.63,1030,3,45,9,0
2014,1,18,3,80.78,1030,4,315,4,0
2014,1,18,4,80.78,1031,4,315,8,0
2014,1,18,5,80.78,1031,4,315,12,0
2014,1,18,6,80.78,1032,4,315,16,0
2014,1,18,7,80.78,1033,4,315,20,0
2014,1,18,8,80.78,1034,4,315,25,0
2014,1,18,9,80.78,1035,4,315,29,0
2014,1,18,10,70.06,1035,5,315,35,0
2014,1,18,11,60.76,1035,6,315,41,0
2014,1,18,12,52.7,1034,7,315,45,0
2014,1,18,13,61.01,1034,7,315,50,0
2014,1,18,14,52.7,1033,7,315,55,0
2014,1,18,15,52.7,1033,7,315,60,0
2014,1,18,16,48.93,1033,7,315,65,0
2014,1,18,17,52.41,1034,6,315,69,None
2014,1,18,18,48.63,1034,6,315,73,0
2014,1,18,19,52.13,1035,5,315,77,0
2014,1,18,20,56.18,1035,5,315,80,0
2014,1,18,21,64.9,1035,4,315,83,0
2014,1,18,22,69.85,1035,4,45,3,0
2014,1,18,23,69.85,1034,4,45,5,0
2014,1,19,0,74.78,1034,2,45,6,0
2014,1,19,1,74.78,1034,2,45,7,0
2014,1,19,2,80.34,1033,1,135,1,0
2014,1,19,3,80.34,1033,1,None,0,0
2014,1,19,4,86.26,1032,-1,225,2,0
2014,1,19,5,86.26,1032,-1,225,4,0
2014,1,19,6,86.37,1032,0,225,5,0
2014,1,19,7,86.37,1032,0,135,1,0
2014,1,19,8,80.49,1032,2,45,1,0
2014,1,19,9,70.06,1032,5,None,1,0
2014,1,19,10,65.36,1032,6,225,4,0
2014,1,19,11,52.98,1032,8,225,8,0
2014,1,19,12,45.7,1031,8,225,13,0
2014,1,19,13,42.71,1029,9,135,4,0
2014,1,19,14,46.29,1027,10,225,7,0
2014,1,19,15,43.01,1027,10,225,14,0
2014,1,19,16,46,1027,9,225,19,0
2014,1,19,17,52.98,1026,8,225,24,0
2014,1,19,18,65.36,1026,6,225,28,0
2014,1,19,19,70.27,1026,6,225,32,0
2014,1,19,20,70.27,1025,6,225,37,0
2014,1,19,21,75.32,1026,5,225,39,0
2014,1,19,22,75.14,1026,4,315,1,0
2014,1,19,23,86.68,1025,3,225,2,0
2014,1,20,0,80.78,1025,4,315,1,0
2014,1,20,1,86.68,1026,3,225,2,0
2014,1,20,2,86.58,1026,2,225,4,0
2014,1,20,3,86.58,1026,2,225,6,0
2014,1,20,4,74.96,1026,3,315,3,0
2014,1,20,5,69.64,1026,3,315,5,0
2014,1,20,6,80.34,1026,1,225,2,0
2014,1,20,7,74.96,1026,3,315,3,0
2014,1,20,8,65.13,1027,5,315,6,0
2014,1,20,9,56.45,1027,6,315,10,0
2014,1,20,10,49.22,1028,8,315,14,0
2014,1,20,11,36.74,1027,9,315,20,0
2014,1,20,12,31.84,1027,10,315,27,0
2014,1,20,13,31.84,1026,10,315,34,0
2014,1,20,14,27.58,1026,11,315,42,0
2014,1,20,15,23.32,1026,10,45,7,0
2014,1,20,16,29.18,1027,9,315,6,0
2014,1,20,17,26.69,1028,8,315,11,0
2014,1,20,18,30.92,1029,7,315,15,0
2014,1,20,19,41.79,1029,6,45,4,0
2014,1,20,20,52.13,1030,5,45,7,0
2014,1,20,21,55.91,1030,4,45,11,0
2014,1,20,22,59.74,1031,2,45,14,0
2014,1,20,23,69.21,1031,1,45,17,0
2014,1,21,0,69.21,1031,1,45,20,0
2014,1,21,1,64.18,1031,1,315,2,0
2014,1,21,2,59.74,1031,2,315,5,0
2014,1,21,3,69.21,1031,1,315,7,0
2014,1,21,4,69,1031,0,315,10,0
2014,1,21,5,69.21,1031,1,315,13,0
2014,1,21,6,69,1032,0,315,17,0
2014,1,21,7,69,1032,0,315,20,0
2014,1,21,8,64.18,1033,1,315,24,0
2014,1,21,9,51.56,1033,3,315,29,0
2014,1,21,10,23.77,1033,5,315,36,0
2014,1,21,11,18.79,1033,6,315,43,0
2014,1,21,12,18.79,1032,6,315,51,0
2014,1,21,13,20.42,1032,6,315,59,0
2014,1,21,14,22.18,1031,6,315,67,0
2014,1,21,15,18.79,1031,6,315,75,0
2014,1,21,16,18.52,1032,5,315,84,0
2014,1,21,17,23.48,1032,4,45,6,0
2014,1,21,18,25.49,1032,4,315,5,0
2014,1,21,19,27.36,1033,3,45,4,0
2014,1,21,20,47.44,1033,2,45,8,0
2014,1,21,21,51.27,1033,2,45,12,0
2014,1,21,22,63.94,1033,0,45,15,0
2014,1,21,23,68.78,1033,-1,45,17,0
2014,1,22,0,74.03,1033,-2,45,20,0
2014,1,22,1,68.78,1033,-1,45,23,0
2014,1,22,2,63.94,1032,0,45,25,0
2014,1,22,3,59.21,1032,0,315,2,0
2014,1,22,4,68.56,1032,-2,315,3,0
2014,1,22,5,74.03,1031,-2,315,5,0
2014,1,22,6,73.84,1031,-3,None,0,0
2014,1,22,7,79.73,1032,-3,225,3,0
2014,1,22,8,80.04,1032,-1,315,2,0
2014,1,22,9,51.27,1033,2,315,4,0
2014,1,22,10,32.5,1032,4,315,6,0
2014,1,22,11,27.97,1032,5,None,2,0
2014,1,22,12,26.09,1031,6,315,2,0
2014,1,22,13,22.18,1030,6,315,4,0
2014,1,22,14,19.06,1029,7,None,1,0
2014,1,22,15,19.06,1029,7,315,2,0
2014,1,22,16,20.7,1029,7,None,2,0
2014,1,22,17,20.42,1029,6,225,2,0
2014,1,22,18,41.48,1029,5,135,4,0
2014,1,22,19,44.49,1029,4,135,8,0
2014,1,22,20,51.56,1029,3,135,12,0
2014,1,22,21,51.56,1029,3,135,17,0
2014,1,22,22,59.74,1029,2,135,21,0
2014,1,22,23,59.74,1029,2,135,24,0
2014,1,23,0,64.18,1029,1,135,27,0
2014,1,23,1,69.21,1029,1,135,29,0
2014,1,23,2,69.21,1028,1,135,31,0
2014,1,23,3,69.21,1028,1,135,34,0
2014,1,23,4,74.41,1027,0,135,36,0
2014,1,23,5,74.41,1027,0,135,38,0
2014,1,23,6,69,1027,0,135,41,0
2014,1,23,7,74.41,1027,0,135,43,0
2014,1,23,8,69.64,1027,3,135,46,0
2014,1,23,9,56.18,1027,5,135,50,0
2014,1,23,10,42.1,1026,7,135,55,0
2014,1,23,11,36.74,1025,9,135,61,0
2014,1,23,12,29.48,1024,10,135,68,0
2014,1,23,13,23.61,1022,11,135,75,0
2014,1,23,14,27.58,1022,11,135,81,0
2014,1,23,15,25.82,1021,12,135,87,0
2014,1,23,16,37.36,1021,11,135,92,0
2014,1,23,17,46.29,1021,10,135,97,0
2014,1,23,18,53.26,1021,9,135,102,0
2014,1,23,19,61.26,1021,8,135,106,0
2014,1,23,20,65.82,1021,8,135,111,0
2014,1,23,21,75.67,1021,7,135,116,0
2014,1,23,22,75.67,1021,7,135,122,0
2014,1,23,23,75.67,1021,7,135,126,0
2014,1,24,0,75.67,1020,7,135,131,0
2014,1,24,1,75.67,1020,7,135,137,0
2014,1,24,2,75.49,1020,6,135,141,0
2014,1,24,3,75.49,1019,6,135,145,0
2014,1,24,4,75.49,1019,6,135,149,0
2014,1,24,5,80.92,1019,5,135,153,0
2014,1,24,6,80.92,1019,5,135,156,0
2014,1,24,7,80.92,1019,5,135,159,0
2014,1,24,8,75.67,1019,7,135,162,0
2014,1,24,9,57.51,1019,10,135,167,0
2014,1,24,10,43.9,1019,13,225,5,0
2014,1,24,11,33.35,1019,15,135,6,0
2014,1,24,12,29.06,1017,16,135,12,0
2014,1,24,13,25.32,1016,17,135,19,0
2014,1,24,14,23.5,1015,17,225,7,0
2014,1,24,15,25.61,1015,18,135,6,0
2014,1,24,16,31.58,1015,17,135,11,0
2014,1,24,17,38.86,1015,16,135,15,0
2014,1,24,18,50.92,1016,14,135,19,0
2014,1,24,19,58.29,1016,13,135,22,0
2014,1,24,20,62.48,1016,13,135,26,0
2014,1,24,21,66.93,1016,13,135,31,0
2014,1,24,22,71.66,1016,13,225,6,0
2014,1,24,23,76.52,1016,12,225,11,0
2014,1,25,0,76.52,1016,12,225,17,0
